n,k,policy,success_rate,mean_expansions_all,mean_expansions_success,mean_expansions_failure,mean_seconds
4,4,expert_tall_large,1.0,10.3,10.3,,0.00025078000035136936
4,4,expert_balanced_small,1.0,9.6,9.6,,0.00027805999852716925
4,4,expert_balanced_large,1.0,7.7,7.7,,0.0002040400169789791
4,4,moe_sparse_top1,1.0,7.7,7.7,,0.0018581999698653816
4,4,moe_top2,1.0,6.7,6.7,,0.0016165100154466928
4,4,moe_top3,1.0,7.4,7.4,,0.0018970699980854987
4,4,moe_all,1.0,8.2,8.2,,0.0024198700208216905
4,5,expert_wide_small,1.0,12.8,12.8,,0.0003100100206211209
4,5,expert_wide_large,1.0,12.9,12.9,,0.00031855000415816905
4,5,expert_tall_small,1.0,10.2,10.2,,0.00025435000425204634
4,5,expert_tall_large,1.0,11.4,11.4,,0.00027234000153839586
4,5,expert_balanced_small,1.0,15.1,15.1,,0.0003530399757437408
4,5,expert_balanced_large,1.0,10.5,10.5,,0.0002915100078098476
4,5,moe_sparse_top1,1.0,10.6,10.6,,0.0024460900109261273
4,5,moe_top2,1.0,10.1,10.1,,0.002455590001773089
4,5,moe_top3,1.0,9.8,9.8,,0.0025958199868910013
4,5,moe_all,1.0,11.5,11.5,,0.0036160500021651387
4,6,expert_wide_small,1.0,14.6,14.6,,0.0003562900121323764
4,6,expert_wide_large,1.0,14.6,14.6,,0.00035939001245424154
4,6,expert_tall_small,1.0,9.0,9.0,,0.0002350799972191453
4,6,expert_tall_large,1.0,13.2,13.2,,0.00033018001122400167
4,6,expert_balanced_small,1.0,15.8,15.8,,0.0003826099680736661
4,6,expert_balanced_large,1.0,9.0,9.0,,0.00032630000496283176
4,6,moe_sparse_top1,1.0,9.0,9.0,,0.002230680012144148
4,6,moe_top2,1.0,11.2,11.2,,0.0027302299975417556
4,6,moe_top3,1.0,11.3,11.3,,0.0030000500264577568
4,6,moe_all,1.0,14.0,14.0,,0.004368140012957156
4,7,expert_wide_small,1.0,13.7,13.7,,0.0003241899888962507
4,7,expert_wide_large,1.0,14.7,14.7,,0.0003486100002191961
4,7,expert_tall_small,1.0,12.5,12.5,,0.00031909000826999543
4,7,expert_tall_large,1.0,16.9,16.9,,0.000439810031093657
4,7,expert_balanced_small,0.9,13.8,12.555555555555555,25.0,0.00034062002087011935
4,7,expert_balanced_large,1.0,10.2,10.2,,0.0002551100100390613
4,7,moe_sparse_top1,1.0,12.5,12.5,,0.00295187997398898
4,7,moe_top2,1.0,12.3,12.3,,0.0030625400017015637
4,7,moe_top3,1.0,12.9,12.9,,0.003472769993823022
4,7,moe_all,1.0,13.7,13.7,,0.004743490007240325
4,8,expert_wide_small,0.8,16.3,14.125,25.0,0.0003949300036765635
4,8,expert_wide_large,1.0,17.0,17.0,,0.00042976001277565955
4,8,expert_tall_small,1.0,13.0,13.0,,0.00034409997751936314
4,8,expert_tall_large,0.8,15.9,13.625,25.0,0.0004012499935925007
4,8,expert_balanced_small,0.8,17.8,16.0,25.0,0.00045914999209344386
4,8,expert_balanced_large,1.0,11.2,11.2,,0.0002754500019364059
4,8,moe_sparse_top1,1.0,11.1,11.1,,0.002495400025509298
4,8,moe_top2,1.0,11.8,11.8,,0.0032425199868157508
4,8,moe_top3,0.9,13.4,12.11111111111111,25.0,0.0035114399855956436
4,8,moe_all,0.8,14.2,11.5,25.0,0.004412449989467859
4,9,expert_wide_small,1.0,17.0,17.0,,0.0004170700325630605
4,9,expert_wide_large,0.7,18.0,15.0,25.0,0.00043171996949240563
4,9,expert_tall_small,0.8,16.0,13.75,25.0,0.00039708998519927263
4,9,expert_tall_large,0.8,17.7,15.875,25.0,0.0004587499890476465
4,9,expert_balanced_small,0.8,19.0,17.5,25.0,0.0004555799998342991
4,9,expert_balanced_large,1.0,12.0,12.0,,0.00028097000904381275
4,9,moe_sparse_top1,0.7,17.9,14.857142857142858,25.0,0.004296339978463948
4,9,moe_top2,0.7,19.8,17.571428571428573,25.0,0.00507402999792248
4,9,moe_top3,0.7,16.2,12.428571428571429,25.0,0.004512509994674474
4,9,moe_all,0.7,16.4,12.714285714285714,25.0,0.005313530005514622
4,10,expert_wide_small,1.0,18.7,18.7,,0.00043304000282660125
4,10,expert_wide_large,1.0,16.1,16.1,,0.0003649999969638884
4,10,expert_tall_small,1.0,11.7,11.7,,0.0002890799893066287
4,10,expert_tall_large,0.9,17.2,16.333333333333332,25.0,0.0004262500093318522
4,10,expert_balanced_small,0.8,19.5,18.125,25.0,0.00047282001469284296
4,10,expert_balanced_large,1.0,14.6,14.6,,0.00035221998114138843
4,10,moe_sparse_top1,0.8,18.9,17.375,25.0,0.004398599988780916
4,10,moe_top2,1.0,11.7,11.7,,0.0028325499733909965
4,10,moe_top3,1.0,11.8,11.8,,0.0030650499858893452
4,10,moe_all,1.0,12.1,12.1,,0.0037267899955622853
4,11,expert_wide_small,1.0,18.4,18.4,,0.0004251400358043611
4,11,expert_wide_large,1.0,17.8,17.8,,0.00041020000353455546
4,11,expert_tall_small,1.0,12.8,12.8,,0.000316319998819381
4,11,expert_tall_large,0.9,17.6,16.77777777777778,25.0,0.00044121998362243173
4,11,expert_balanced_small,0.5,22.3,19.6,25.0,0.0005478400038555264
4,11,expert_balanced_large,1.0,16.7,16.7,,0.00038809000980108974
4,11,moe_sparse_top1,1.0,16.6,16.6,,0.003811930026859045
4,11,moe_top2,1.0,12.6,12.6,,0.0031342000118456783
4,11,moe_top3,0.9,15.5,14.444444444444445,25.0,0.004216759989503771
4,11,moe_all,1.0,15.6,15.6,,0.00528970998711884
4,12,expert_wide_small,0.9,20.2,19.666666666666668,25.0,0.0004750999854877591
4,12,expert_wide_large,0.9,19.6,19.0,25.0,0.00046908000949770213
4,12,expert_tall_small,1.0,14.0,14.0,,0.0003553100163117051
4,12,expert_tall_large,0.9,19.4,18.77777777777778,25.0,0.0005002199904993176
4,12,expert_balanced_small,0.6,22.0,20.0,25.0,0.0005323200137354433
4,12,expert_balanced_large,1.0,17.6,17.6,,0.00041649000486359
4,12,moe_sparse_top1,1.0,14.0,14.0,,0.0032468700082972646
4,12,moe_top2,1.0,14.0,14.0,,0.003568699990864843
4,12,moe_top3,1.0,14.8,14.8,,0.0038569799973629413
4,12,moe_all,0.9,15.5,14.444444444444445,25.0,0.004988330008927733
4,13,expert_wide_small,1.0,18.9,18.9,,0.00044109999435022474
4,13,expert_wide_large,1.0,18.8,18.8,,0.0004279299871996045
4,13,expert_tall_small,1.0,14.5,14.5,,0.00042005997383967044
4,13,expert_tall_large,0.8,17.9,16.125,25.0,0.0004957900033332408
4,13,expert_balanced_small,0.7,22.2,21.0,25.0,0.0005641099996864796
4,13,expert_balanced_large,1.0,18.8,18.8,,0.0004639900173060596
4,13,moe_sparse_top1,1.0,18.5,18.5,,0.004320650012232363
4,13,moe_top2,1.0,16.5,16.5,,0.004676049971021712
4,13,moe_top3,1.0,16.3,16.3,,0.004736799991223961
4,13,moe_all,0.9,16.9,16.0,25.0,0.005611510016024113
4,14,expert_wide_small,0.7,22.1,20.857142857142858,25.0,0.0005732699879445136
4,14,expert_wide_large,0.9,21.8,21.444444444444443,25.0,0.000552970019634813
4,14,expert_tall_small,1.0,15.9,15.9,,0.000392530020326376
4,14,expert_tall_large,0.9,19.1,18.444444444444443,25.0,0.000496449985075742
4,14,expert_balanced_small,0.7,22.4,21.285714285714285,25.0,0.0005402900162152946
4,14,expert_balanced_large,1.0,20.4,20.4,,0.0004696400137618184
4,14,moe_sparse_top1,1.0,15.9,15.9,,0.003766359994187951
4,14,moe_top2,1.0,16.0,16.0,,0.004474829975515604
4,14,moe_top3,1.0,16.1,16.1,,0.004877120011951774
4,14,moe_all,0.9,16.6,15.666666666666666,25.0,0.005979430000297725
5,3,expert_wide_small,1.0,8.5,8.5,,0.00022516001481562853
5,3,expert_wide_large,1.0,9.4,9.4,,0.00026211999356746675
5,3,expert_tall_small,1.0,7.4,7.4,,0.0001950999954715371
5,3,expert_tall_large,1.0,8.7,8.7,,0.0002233500126749277
5,3,expert_balanced_small,1.0,10.4,10.4,,0.00026701001916080714
5,3,expert_balanced_large,1.0,5.2,5.2,,0.00014449999434873462
5,3,moe_sparse_top1,1.0,9.3,9.3,,0.0022492699907161297
5,3,moe_top2,1.0,7.9,7.9,,0.0019575900165364145
5,3,moe_top3,1.0,7.9,7.9,,0.0021099500125274064
5,3,moe_all,1.0,8.8,8.8,,0.0027985899825580416
5,4,expert_wide_small,1.0,12.2,12.2,,0.00031956002349033954
5,4,expert_wide_large,1.0,13.1,13.1,,0.0003416700172238052
5,4,expert_tall_small,1.0,9.0,9.0,,0.0002336400095373392
5,4,expert_tall_large,1.0,11.5,11.5,,0.0003072499996051192
5,4,expert_balanced_small,1.0,14.1,14.1,,0.0003627099795266986
5,4,expert_balanced_large,1.0,5.4,5.4,,0.00015661000506952404
5,4,moe_sparse_top1,1.0,5.4,5.4,,0.0012223399942740798
5,4,moe_top2,1.0,5.9,5.9,,0.001458909991197288
5,4,moe_top3,1.0,5.9,5.9,,0.0016098099877126515
5,4,moe_all,1.0,8.3,8.3,,0.0026641500182449816
5,5,expert_wide_small,1.0,13.9,13.9,,0.0003624600125476718
5,5,expert_wide_large,1.0,13.1,13.1,,0.0003409299883060157
5,5,expert_tall_small,1.0,11.7,11.7,,0.0003176900092512369
5,5,expert_tall_large,0.9,15.3,14.222222222222221,25.0,0.0004045800073072314
5,5,expert_balanced_small,1.0,16.2,16.2,,0.00040244997944682837
5,5,expert_balanced_large,1.0,6.1,6.1,,0.0001907900208607316
5,5,moe_sparse_top1,1.0,6.1,6.1,,0.0013986099977046252
5,5,moe_top2,1.0,6.1,6.1,,0.0014953400124795735
5,5,moe_top3,1.0,10.3,10.3,,0.0029004599899053575
5,5,moe_all,1.0,12.6,12.6,,0.004364930023439228
5,6,expert_wide_small,1.0,13.8,13.8,,0.0003631700063124299
5,6,expert_wide_large,0.8,16.5,14.375,25.0,0.0004280000110156834
5,6,expert_tall_small,0.9,14.0,12.777777777777779,25.0,0.00037287999875843523
5,6,expert_tall_large,1.0,17.2,17.2,,0.00047768999356776474
5,6,expert_balanced_small,0.8,20.3,19.125,25.0,0.0005178199848160147
5,6,expert_balanced_large,1.0,8.8,8.8,,0.0002326000016182661
5,6,moe_sparse_top1,1.0,8.9,8.9,,0.002145529992412776
5,6,moe_top2,1.0,8.9,8.9,,0.0022303600097075106
5,6,moe_top3,1.0,10.4,10.4,,0.002897020021919161
5,6,moe_all,1.0,12.4,12.4,,0.004002730012871325
5,7,expert_wide_small,1.0,14.0,14.0,,0.00034849998774006964
5,7,expert_wide_large,0.9,14.3,13.11111111111111,25.0,0.00036625000648200513
5,7,expert_tall_small,0.9,15.3,14.222222222222221,25.0,0.00039455000078305604
5,7,expert_tall_large,0.7,18.3,15.428571428571429,25.0,0.00047347999643534424
5,7,expert_balanced_small,1.0,17.8,17.8,,0.00044971001334488393
5,7,expert_balanced_large,1.0,9.3,9.3,,0.00024101000744849443
5,7,moe_sparse_top1,1.0,9.3,9.3,,0.002223620016593486
5,7,moe_top2,1.0,9.7,9.7,,0.002872020017821342
5,7,moe_top3,1.0,13.0,13.0,,0.0035694399732165037
5,7,moe_all,1.0,15.2,15.2,,0.004802410001866519
5,8,expert_wide_small,0.9,15.3,14.222222222222221,25.0,0.0003866600221954286
5,8,expert_wide_large,0.9,17.3,16.444444444444443,25.0,0.0004323399974964559
5,8,expert_tall_small,0.8,18.1,16.375,25.0,0.0004667800269089639
5,8,expert_tall_large,0.8,19.4,18.0,25.0,0.0004972299910150468
5,8,expert_balanced_small,0.7,21.1,19.428571428571427,25.0,0.0008234400185756386
5,8,expert_balanced_large,1.0,10.2,10.2,,0.0002643299871124327
5,8,moe_sparse_top1,0.8,18.0,16.25,25.0,0.004239369998686016
5,8,moe_top2,1.0,11.7,11.7,,0.00295054002199322
5,8,moe_top3,1.0,12.9,12.9,,0.0035774399992078544
5,8,moe_all,1.0,15.8,15.8,,0.005089260020758957
5,9,expert_wide_small,1.0,16.1,16.1,,0.0003848499967716634
5,9,expert_wide_large,0.7,17.4,14.142857142857142,25.0,0.00042487002210691573
5,9,expert_tall_small,0.9,16.2,15.222222222222221,25.0,0.0004224200150929391
5,9,expert_tall_large,0.7,17.7,14.571428571428571,25.0,0.00044840999180451035
5,9,expert_balanced_small,0.6,20.0,16.666666666666668,25.0,0.0005003700032830238
5,9,expert_balanced_large,1.0,13.8,13.8,,0.0003437599982134998
5,9,moe_sparse_top1,0.9,17.4,16.555555555555557,25.0,0.004165410005953163
5,9,moe_top2,1.0,14.1,14.1,,0.0035493999952450395
5,9,moe_top3,0.7,16.3,12.571428571428571,25.0,0.006495509971864521
5,9,moe_all,0.6,18.1,13.5,25.0,0.007471279997844249
5,10,expert_wide_small,0.9,20.0,19.444444444444443,25.0,0.0005442599998787045
5,10,expert_wide_large,0.6,21.5,19.166666666666668,25.0,0.0005849399836733937
5,10,expert_tall_small,0.9,18.0,17.22222222222222,25.0,0.0005357199930585921
5,10,expert_tall_large,0.7,19.0,16.428571428571427,25.0,0.0005463600042276085
5,10,expert_balanced_small,0.5,22.8,20.6,25.0,0.0006385200074873864
5,10,expert_balanced_large,1.0,14.2,14.2,,0.0003920900053344667
5,10,moe_sparse_top1,1.0,14.2,14.2,,0.0036448300117626784
5,10,moe_top2,0.9,17.7,16.88888888888889,25.0,0.005093900032807142
